community_name,region_name,town_name,detail_address,subway_name,subway_station,subway_distance,completion_date_year,location_with_center
苹果社区(南区),朝阳,双井,百子湾路32号,14号线(东),九龙山,689,1999年,三四环之间
后现代城(A区),朝阳,百子湾,百子湾路,7号线,大郊亭,773,2003年,三四环之间
百环家园,朝阳,双井,广渠路66号,10号线,双井,430,2005年,三四环之间
太阳公元(北区),朝阳,太阳宫,太阳宫一街1号,10号线,芍药居,625,2010年,三四环之间
棕榈泉国际公寓,朝阳,朝阳公园,公园南路8号,14号线(东),朝阳公园,210,2004年,三四环之间
鸿博家园(一期C区),朝阳,小红门,鸿博西路,亦庄线,小红门,1346,2007年,四五环之间
富力又一城(A区),朝阳,豆各庄,大鲁店北路,7号线,焦化厂,2580,2004年,五六环之间
首城国际,朝阳,双井,广渠路36号,10号线,双井,671,2010年,三四环之间
广渠金茂府(北区),朝阳,大望路,百子湾南二路66号,7号线,大郊亭,437,2011年,三四环之间
北京新天地(东区),朝阳,管庄,朝阳路5号,八通线,管庄,937,2004年,五六环之间
阳光上东,朝阳,酒仙桥,东四环北路6号,14号线(东),东风北桥,785,2004年,四五环之间
嘉铭桐城(A区),朝阳,亚运村小营,北苑路,15号线,关庄,171,2001年,四五环之间
望京西园三区,朝阳,望京,望京街,14号线(东),望京,391,2003年,四五环之间
芍药居北里小区,朝阳,芍药居,北四环东路,13号线,芍药居,1067,1999年,三四环之间
茉藜园,朝阳,北苑,春华路,5号线,立水桥南,850,2004年,五六环之间
天鹅湾(北区),朝阳,朝青板块,甘露园中街,6号线,青年路,488,2008年,四五环之间
融科橄榄城(一期),朝阳,望京,阜通西大街,15号线,望京东,521,2007年,四五环之间
国奥村(西区),朝阳,奥林匹克公园,林萃东路1号,8号线,森林公园南门,1146,2007年,四五环之间
远洋天地,朝阳,四惠,八里庄西里1号,八通线,四惠,553,2003年,四五环之间
华腾园,朝阳,劲松,东三环南路54号,10号线,劲松,469,1999年,三四环之间
UHN国际村,朝阳,太阳宫,曙光西路,10号线,太阳宫,566,2002年,三四环之间
百子湾家园(A区),朝阳,百子湾,百子湾路,八通线,四惠东,1146,2003年,四五环之间
季景沁园,朝阳,望京,湖光中街,15号线,望京西,377,2005年,四五环之间
公园大道,朝阳,朝阳公园,公园南路6号,14号线(东),朝阳公园,688,2004年,三四环之间
国兴观湖国际,朝阳,朝阳公园,东四环北路88号,14号线(东),朝阳公园,1349,2005年,四五环之间
公园1872,朝阳,十里堡,石佛营路,6号线,十里堡,259,2007年,四五环之间
华纺易城,朝阳,朝青板块,青年路29号,6号线,青年路,830,2005年,四五环之间
富力城(D区),朝阳,双井,广渠门外大街,7号线,广渠门外,509,2015年,二三环之间
凤凰城,朝阳,三元桥,曙光西里甲5号,机场线,三元桥,309,2002年,三四环之间
望春园,朝阳,北苑,锦芳北街,5号线,立水桥南,649,2008年,五六环之间
富力城(A区),朝阳,双井,广渠门外大街,10号线,双井,395,2000年,二三环之间
安慧北里逸园,朝阳,大屯,大屯路,5号线,大屯路东,381,1993年,四五环之间
亚运新新家园,朝阳,亚运村,辛店路1号,15号线,关庄,1181,2014年,四五环之间
美景东方,朝阳,潘家园,松榆南路38号,14号线(东),北工大西门,879,2003年,三四环之间
兴隆家园(南区),朝阳,高碑店,高碑店北路,八通线,高碑店,628,2004年,四五环之间
红玺台,朝阳,太阳宫,太阳宫二街3号,10号线,芍药居,324,2012年,三四环之间
华贸天地,朝阳,北苑,清河营南街7号,13号线,北苑,527,2014年,五六环之间
九龙花园,朝阳,双井,广渠路31号,14号线(东),九龙山,623,1998年,三四环之间
华贸公寓,朝阳,大望路,建国路89号,1号线,大望路,535,2005年,三四环之间
绣菊园(北区),朝阳,北苑,秋实街,13号线,北苑,880,2000年,五六环之间
国风上观,朝阳,望京,阜通东大街,14号线(东),望京南,932,2007年,四五环之间
金海国际,朝阳,百子湾,广渠路21号,7号线,大郊亭,408,2004年,四五环之间
珠江罗马嘉园(西区),朝阳,朝青板块,朝阳北路107号,6号线,青年路,532,2004年,四五环之间
金港国际,朝阳,大望路,西大望路19号,14号线(东),九龙山,439,2002年,三四环之间
金地国际花园,朝阳,国贸,建国路91号,14号线(东),大望路,285,2003年,三四环之间
紫薇天悦,朝阳,亚运村小营,小营北路23号,15号线,关庄,390,2008年,四五环之间
宝星国际,朝阳,望京,阜安西路,15号线,望京东,520,2006年,四五环之间
南新园小区,朝阳,潘家园,松榆南路,10号线,潘家园,823,1995年,三四环之间
悠乐汇,朝阳,望京,阜安东路,14号线(东),阜通,539,2004年,四五环之间
垡头翠成馨园(A区),朝阳,垡头,垡头路,7号线,欢乐谷景区,799,2003年,四五环之间
慧忠北里,朝阳,亚运村,安立路,15号线,安立路,361,1998年,四五环之间
合生国际花园(一期),朝阳,双井,广渠门外大街31号,10号线,双井,786,2000年,二三环之间
清友园,朝阳,北苑,春华路,13号线,北苑,707,2000年,五六环之间
农光里小区,朝阳,劲松,南磨房路,10号线,劲松,344,1985年,三四环之间
上元君庭,朝阳,媒体村,安立路28号,5号线,北苑路北,739,2004年,五六环之间
世茂奥临花园,朝阳,北苑,清林路一号,5号线,立水桥南,1285,2000年,五六环之间
松榆西里,朝阳,潘家园,松榆南路,10号线,潘家园,399,2015年,三四环之间
富力城(C区),朝阳,双井,广渠门外大街,10号线,双井,462,2005年,二三环之间
北京香颂,朝阳,望京,南湖西园南路,15号线,望京西,528,2007年,四五环之间
弘善家园,朝阳,潘家园,华威南路,14号线(东),十里河,791,2009年,二三环之间
鹿港嘉苑,朝阳,花家地,望京西路50号,10号线,太阳宫,1321,2003年,四五环之间
保利中央公园,朝阳,望京,宏泰东街,15号线,望京东,759,2012年,四五环之间
嘉美风尚中心,朝阳,望京,阜荣街,14号线(东),望京南,296,2006年,四五环之间
珠江绿洲家园,朝阳,定福庄,建国路18号,八通线,传媒大学,557,2003年,五六环之间
双合小区(建工双合家园B区),朝阳,垡头,双合中路8号,7号线,双合,461,2004年,四五环之间
华鼎世家,朝阳,望京,阜通西大街,14号线(东),阜通,485,2000年,四五环之间
首开铂郡,朝阳,三里屯,新东路12号,10号线,农业展览馆,983,2011年,二三环之间
远洋一方花语苑,朝阳,管庄,双桥东路3号,八通线,管庄,935,2013年,五六环之间
炫特区,朝阳,石佛营,石佛营东路,6号线,十里堡,859,2005年,四五环之间
通惠家园惠民园,朝阳,四惠,建国路,1号线,四惠东,371,2004年,四五环之间
卡夫卡公社,朝阳,常营,朝阳北路,6号线,黄渠,387,2010年,五六环之间
时代国际嘉园,朝阳,双井,东柏街10号,10号线,双井,287,2006年,三四环之间
中海城紫鑫阁,朝阳,十里河,成寿寺路134号,10号线,成寿寺,72,2008年,三四环之间
国典华园,朝阳,安贞,安定路12号,10号线,安贞门,418,2003年,三四环之间
慧谷阳光,朝阳,望京,阜安西路,15号线,望京东,555,2004年,四五环之间
幸福二村,朝阳,工体,春秀路,机场线,东直门,1036,1992年,二三环之间
管庄西里,朝阳,管庄,朝阳路,八通线,管庄,1069,1998年,五六环之间
南湖东园(一区),朝阳,望京,南湖北路,15号线,望京,626,2000年,四五环之间
柏林爱乐(一期),朝阳,常营,三间房东路,6号线,常营,846,2008年,五六环之间
周庄嘉园B区,朝阳,十里河,弘燕路,14号线(东),北工大西门,1261,2000年,三四环之间
银领国际,朝阳,望京,望京西路,15号线,望京西,565,2003年,四五环之间
乐成国际,朝阳,国贸,百子湾南二路76号,14号线(东),九龙山,613,2006年,三四环之间
南湖东园(二区),朝阳,望京,湖光北街,15号线,望京,366,2000年,四五环之间
风度柏林,朝阳,大望路,西大望路59号,7号线,九龙山,469,2003年,三四环之间
紫玉山庄,朝阳,亚运村,紫玉东路1号,5号线,大屯路东,932,2003年,四五环之间
东区国际公寓,朝阳,四惠,慈云寺1号,八通线,四惠,831,2000年,三四环之间
上京新航线,朝阳,望京,望京北路,14号线(东),东湖渠,206,2007年,四五环之间
融华世家,朝阳,亚运村小营,小营北路,15号线,大屯路东,377,2010年,四五环之间
南平里,朝阳,首都机场,机场南路,机场线,T3航,楼站1867,1996年,五六环之间
利泽西园,朝阳,望京,广顺北大街,14号线(东),东湖渠,340,2015年,四五环之间
半岛国际公寓,朝阳,太阳宫,太阳宫南街,10号线,太阳宫,330,2005年,三四环之间
三里屯SOHO公寓,朝阳,三里屯,工人体育场北路8号,10号线,团结湖,806,2015年,二三环之间
丽都水岸,朝阳,酒仙桥,芳园南里10号,14号线(东),将台,583,2005年,四五环之间
慧忠里小区,朝阳,亚运村,北辰东路,15号线,安立路,905,1996年,四五环之间
丽水嘉园,朝阳,朝阳公园,朝阳公园南路,14号线(东),朝阳公园,451,1997年,三四环之间
万科星园,朝阳,媒体村,安立路,5号线,北苑路北,521,2001年,五六环之间
安贞西里(一区),朝阳,安贞,安贞路,8号线,北土城,586,1985年,三四环之间
阳光100国际公寓,朝阳,CBD,光华路2号,14号线(东),大望路,474,2001年,三四环之间
日坛国际公寓,朝阳,朝外大街,日坛北路17号,6号线,东大桥,896,2008年,二三环之间
千鹤家园,朝阳,惠新西街,北四环东路108号,5号线,惠新西街北口,322,2002年,三四环之间
远洋万和公馆,朝阳,望京,阜通东大街,15号线,望京东,230,2016年,四五环之间
双龙南里小区,朝阳,潘家园,双龙路,14号线(东),北工大西门,633,1998年,三四环之间
天创世缘,朝阳,亚运村,大屯路甲21号,15号线,安立路,193,2001年,四五环之间
小关北里,朝阳,小关,安苑路,5号线,惠新西街南口,487,1992年,三四环之间
恋日绿岛小区,朝阳,十八里店,博大路25号,亦庄线,小红门,1638,2002年,四五环之间
力鸿花园,朝阳,左家庄,左家庄中街6号,13号线,柳芳,627,1997年,二三环之间
梵谷水郡,朝阳,酒仙桥,驼房营南路2号,14号线(东),东风北桥,1834,2001年,四五环之间
朝阳园,朝阳,甘露园,甘露园南里25号,6号线,青年路,577,2000年,四五环之间
西坝河东里,朝阳,西坝河,北三环东路,10号线,太阳宫,715,1990年,三四环之间
泛海国际碧海园,朝阳,朝阳公园,姚家园路97号,6号线,十里堡,1504,2015年,四五环之间
安贞西里社区(安贞西里二区),朝阳,安贞,北辰路,8号线,北土城,361,1985年,三四环之间
香江花园(别墅),朝阳,来广营,香江北路1号,15号线,马泉营,1381,1997年,五六环之间
保利嘉园3号院,朝阳,常营,常营中路3号,6号线,常营,804,2010年,五六环之间
火星园,朝阳,太阳宫,太阳宫中路,10号线,太阳宫,347,2010年,三四环之间
龙湖长楹天街(东区),朝阳,常营,朝阳北路,6号线,常营,351,2014年,五六环之间
瞰都,朝阳,酒仙桥,东四环北路10号,14号线(东),东风北桥,301,2015年,四五环之间
